GSM	sample_title	accession_number	accession_name	growth_temperature	tissue	developmental_stage	target_gene	raw_counts	RPKM	processed_file
GSM1321835	s6112_16C	6112	T540	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321835/suppl/GSM1321835_s6112_16C_expression_table.txt.gz
GSM1321836	s6113_10C	6113	T550	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321836/suppl/GSM1321836_s6113_10C_expression_table.txt.gz
GSM1321837	s6113_16C	6113	T550	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321837/suppl/GSM1321837_s6113_16C_expression_table.txt.gz
GSM1321838	s6114_10C	6114	T570	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321838/suppl/GSM1321838_s6114_10C_expression_table.txt.gz
GSM1321839	s6114_16C	6114	T570	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321839/suppl/GSM1321839_s6114_16C_expression_table.txt.gz
GSM1321840	s6115_10C	6115	T580	10C	whole rosette	9-leaf stage	AT1G11560	2.0	0.000350341713007	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321840/suppl/GSM1321840_s6115_10C_expression_table.txt.gz
GSM1321841	s6115_16C	6115	T580	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321841/suppl/GSM1321841_s6115_16C_expression_table.txt.gz
GSM1321842	s6118_10C	6118	T610	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321842/suppl/GSM1321842_s6118_10C_expression_table.txt.gz
GSM1321843	s6118_16C	6118	T610	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321843/suppl/GSM1321843_s6118_16C_expression_table.txt.gz
GSM1321844	s6122_10C	6122	T670	10C	whole rosette	9-leaf stage	AT1G11560	0.666666666667	0.000227938081278	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321844/suppl/GSM1321844_s6122_10C_expression_table.txt.gz
GSM1321845	s6122_16C	6122	T670	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321845/suppl/GSM1321845_s6122_16C_expression_table.txt.gz
GSM1321846	s6124_10C	6124	T690	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321846/suppl/GSM1321846_s6124_10C_expression_table.txt.gz
GSM1321847	s6124_16C	6124	T690	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321847/suppl/GSM1321847_s6124_16C_expression_table.txt.gz
