run	biosample	sample_name	genotype_id	environment	replicate_flag	library_strategy	library_layout	platform	spots	bases	download_path
SRR11933315	SAMN15145320	R15X1141_WW	R15X1141	WW		RNA-Seq	PAIRED	ILLUMINA	29467728	1499924874	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933315/SRR11933315.lite.1
SRR11933313	SAMN15145321	RY729_WS1	RY729	WS1		RNA-Seq	PAIRED	ILLUMINA	42220977	2148312728	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933313/SRR11933313.lite.1
SRR11933312	SAMN15145322	RY729_WS2	RY729	WS2		RNA-Seq	PAIRED	ILLUMINA	45964866	2057107258	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933312/SRR11933312.lite.1
SRR11933311	SAMN15145323	RY729_WW	RY729	WW		RNA-Seq	PAIRED	ILLUMINA	53496301	2709955690	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933311/SRR11933311.lite.1
SRR11933310	SAMN15145324	S22_WS1	S22	WS1		RNA-Seq	PAIRED	ILLUMINA	47646141	2425805287	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933310/SRR11933310.lite.1
SRR11933309	SAMN15145325	S22_WS1_REP	S22	WS1	REP	RNA-Seq	PAIRED	ILLUMINA	45443511	2314659146	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933309/SRR11933309.lite.1
SRR11933308	SAMN15145326	S22_WS2	S22	WS2		RNA-Seq	PAIRED	ILLUMINA	42185728	2147642878	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933308/SRR11933308.lite.1
SRR11933307	SAMN15145327	S22_WW	S22	WW		RNA-Seq	PAIRED	ILLUMINA	20554674	1008647721	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933307/SRR11933307.lite.1
SRR11933306	SAMN15145328	S22_WW_REP	S22	WW	REP	RNA-Seq	PAIRED	ILLUMINA	47129617	2398908007	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933306/SRR11933306.lite.1
SRR11933305	SAMN15145329	SC55_WS1	SC55	WS1		RNA-Seq	PAIRED	ILLUMINA	50039165	2547880856	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933305/SRR11933305.lite.1
SRR11933304	SAMN15145330	SC55_WS2	SC55	WS2		RNA-Seq	PAIRED	ILLUMINA	46802953	2383889754	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933304/SRR11933304.lite.1
SRR11933302	SAMN15145331	SC55_WW	SC55	WW		RNA-Seq	PAIRED	ILLUMINA	51481549	2610513546	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933302/SRR11933302.lite.1
SRR11933301	SAMN15145332	SHEN5003_WS1	SHEN5003	WS1		RNA-Seq	PAIRED	ILLUMINA	55230453	2790606376	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933301/SRR11933301.lite.1
SRR11933300	SAMN15145333	SHEN5003_WS2	SHEN5003	WS2		RNA-Seq	PAIRED	ILLUMINA	56639427	2880796341	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933300/SRR11933300.lite.1
SRR11933299	SAMN15145334	SHEN5003_WS2_REP	SHEN5003	WS2	REP	RNA-Seq	PAIRED	ILLUMINA	27143221	1342774083	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933299/SRR11933299.lite.1
SRR11933298	SAMN15145335	SHEN5003_WW	SHEN5003	WW		RNA-Seq	PAIRED	ILLUMINA	11537840	588189905	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933298/SRR11933298.lite.1
SRR11933297	SAMN15145336	SHEN5003_WW_REP	SHEN5003	WW	REP	RNA-Seq	PAIRED	ILLUMINA	57083774	2883965884	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933297/SRR11933297.lite.1
SRR11933296	SAMN15145337	SI273_WS1	SI273	WS1		RNA-Seq	PAIRED	ILLUMINA	50484093	2559933369	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933296/SRR11933296.lite.1
SRR11933295	SAMN15145338	SI273_WS2	SI273	WS2		RNA-Seq	PAIRED	ILLUMINA	51966755	2603076312	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933295/SRR11933295.lite.1
SRR11933294	SAMN15145339	SI273_WW	SI273	WW		RNA-Seq	PAIRED	ILLUMINA	31804558	1618756605	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933294/SRR11933294.lite.1
SRR11933293	SAMN15145340	SW92E114_WS1	SW92E114	WS1		RNA-Seq	PAIRED	ILLUMINA	65376220	3319786209	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933293/SRR11933293.lite.1
SRR11933290	SAMN15145341	SW92E114_WS2	SW92E114	WS2		RNA-Seq	PAIRED	ILLUMINA	38653288	1934876482	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933290/SRR11933290.lite.1
SRR11933289	SAMN15145342	SW92E114_WW	SW92E114	WW		RNA-Seq	PAIRED	ILLUMINA	31237200	1590086450	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933289/SRR11933289.lite.1
SRR11933288	SAMN15145343	SY1032_WS1	SY1032	WS1		RNA-Seq	PAIRED	ILLUMINA	47423440	2098445416	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933288/SRR11933288.lite.1
SRR11933287	SAMN15145344	SY1032_WS2	SY1032	WS2		RNA-Seq	PAIRED	ILLUMINA	65583450	3223269959	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933287/SRR11933287.lite.1
SRR11933286	SAMN15145345	SY1032_WW	SY1032	WW		RNA-Seq	PAIRED	ILLUMINA	13371503	631008059	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933286/SRR11933286.lite.1
SRR11933285	SAMN15145346	SY1039_WS2	SY1039	WS2		RNA-Seq	PAIRED	ILLUMINA	21238154	1054884791	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933285/SRR11933285.lite.1
SRR11933284	SAMN15145347	SY1039_WW	SY1039	WW		RNA-Seq	PAIRED	ILLUMINA	48374499	2194518748	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933284/SRR11933284.lite.1
SRR11933283	SAMN15145348	SY1052_WS1	SY1052	WS1		RNA-Seq	PAIRED	ILLUMINA	46970588	2389144393	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933283/SRR11933283.lite.1
SRR11933282	SAMN15145349	SY1052_WS2	SY1052	WS2		RNA-Seq	PAIRED	ILLUMINA	19182454	862879012	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933282/SRR11933282.lite.1
SRR11933281	SAMN15145350	SY1052_WW	SY1052	WW		RNA-Seq	PAIRED	ILLUMINA	41632998	2118452294	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933281/SRR11933281.lite.1
SRR11933279	SAMN15145351	SY1128_WS1	SY1128	WS1		RNA-Seq	PAIRED	ILLUMINA	48501709	2469269660	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933279/SRR11933279.lite.1
SRR11933278	SAMN15145352	SY1128_WS2	SY1128	WS2		RNA-Seq	PAIRED	ILLUMINA	39239023	1996391199	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933278/SRR11933278.lite.1
SRR11933277	SAMN15145353	SY1128_WW	SY1128	WW		RNA-Seq	PAIRED	ILLUMINA	28039984	1376985678	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933277/SRR11933277.lite.1
SRR11933276	SAMN15145354	SY3073_WS1	SY3073	WS1		RNA-Seq	PAIRED	ILLUMINA	47436092	2414923357	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933276/SRR11933276.lite.1
SRR11933275	SAMN15145355	SY3073_WS2	SY3073	WS2		RNA-Seq	PAIRED	ILLUMINA	40711686	2071505988	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933275/SRR11933275.lite.1
SRR11933274	SAMN15145356	SY3073_WW	SY3073	WW		RNA-Seq	PAIRED	ILLUMINA	30869135	1515937557	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933274/SRR11933274.lite.1
SRR11933273	SAMN15145357	TIAN77_WS1	TIAN77	WS1		RNA-Seq	PAIRED	ILLUMINA	45094416	2296330768	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933273/SRR11933273.lite.1
SRR11933248	SAMN15145358	TIAN77_WS2	TIAN77	WS2		RNA-Seq	PAIRED	ILLUMINA	12599187	565862866	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933248/SRR11933248.lite.1
SRR11933247	SAMN15145359	TIAN77_WW	TIAN77	WW		RNA-Seq	PAIRED	ILLUMINA	54344480	2760792905	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933247/SRR11933247.lite.1
SRR11933246	SAMN15145360	TIE7922_WS2	TIE7922	WS2		RNA-Seq	PAIRED	ILLUMINA	38216387	1931886383	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933246/SRR11933246.lite.1
SRR11933244	SAMN15145361	TIE7922_WW	TIE7922	WW		RNA-Seq	PAIRED	ILLUMINA	66524335	3360294668	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933244/SRR11933244.lite.1
