GSM	sample_title	accession_id	cultivar	tissue	developmental_stage
GSM2135902	Durh-1 (7107)	7107	Durh-1	leaf	before bolting
GSM2135903	Edi-0 (7111)	7111	Edi-0	leaf	before bolting
GSM2135904	En-2 (7119)	7119	En-2	leaf	before bolting
GSM2135905	Gd-1 (7161)	7161	Gd-1	leaf	before bolting
GSM2135906	Hau-0 (7164)	7164	Hau-0	leaf	before bolting
GSM2135907	Hn-0 (7165)	7165	Hn-0	leaf	before bolting
GSM2135908	Hi-0 (7167)	7167	Hi-0	leaf	before bolting
GSM2135909	Hh-0 (7169)	7169	Hh-0	leaf	before bolting
GSM2135910	Kn-0 (7186)	7186	Kn-0	leaf	before bolting
GSM2135911	Kb-0 (7202)	7202	Kb-0	leaf	before bolting
GSM2135912	Le-0 (7218)	7218	Le-0	leaf	before bolting
GSM2135913	Li-7 (7231)	7231	Li-7	leaf	before bolting
GSM2135914	Mnz-0 (7244)	7244	Mnz-0	leaf	before bolting
GSM2135915	Mv-0 (7248)	7248	Mv-0	leaf	before bolting
GSM2135916	Me-0 (7250)	7250	Me-0	leaf	before bolting
GSM2135917	Nz-1 (7263)	7263	Nz-1	leaf	before bolting
GSM2135918	LI-SET-019 (728)	728	LI-SET-019	leaf	before bolting
GSM2135919	Or-0 (7282)	7282	Or-0	leaf	before bolting
GSM2135920	Oy-0 (7288)	7288	Oy-0	leaf	before bolting
GSM2135921	Petergof (7296)	7296	Petergof	leaf	before bolting
GSM2135922	Po-0 (7308)	7308	Po-0	leaf	before bolting
GSM2135923	Rhen-1 (7316)	7316	Rhen-1	leaf	before bolting
GSM2135924	Rou-0 (7320)	7320	Rou-0	leaf	before bolting
GSM2135925	Rsch-4 (7322)	7322	Rsch-4	leaf	before bolting
GSM2135926	Sf-1 (7327)	7327	Sf-1	leaf	before bolting
GSM2135927	Sf-2 (7328)	7328	Sf-2	leaf	before bolting
GSM2135928	Sapporo-0 (7330)	7330	Sapporo-0	leaf	before bolting
GSM2135929	Ste-0 (7346)	7346	Ste-0	leaf	before bolting
GSM2135930	Tac-0 (7350)	7350	Tac-0	leaf	before bolting
GSM2135931	Tha-1 (7353)	7353	Tha-1	leaf	before bolting
GSM2135932	Ting-1 (7354)	7354	Ting-1	leaf	before bolting
GSM2135933	Tiv-1 (7355)	7355	Tiv-1	leaf	before bolting
GSM2135934	Tscha-1 (7372)	7372	Tscha-1	leaf	before bolting
GSM2135935	Tsu-0 (7373)	7373	Tsu-0	leaf	before bolting
GSM2135936	Tul-0 (7377)	7377	Tul-0	leaf	before bolting
GSM2135937	Ven-1 (7384)	7384	Ven-1	leaf	before bolting
GSM2135938	Ws-0 (7396)	7396	Ws-0	leaf	before bolting
GSM2135939	Wc-1 (7404)	7404	Wc-1	leaf	before bolting
GSM2135940	Wil-2 (7413)	7413	Wil-2	leaf	before bolting
GSM2135941	Zu-1 (7418)	7418	Zu-1	leaf	before bolting
GSM2135942	Jl-3 (7424)	7424	Jl-3	leaf	before bolting
GSM2135943	Ko-2 (7427)	7427	Ko-2	leaf	before bolting
GSM2135944	Ber (7458)	7458	Ber	leaf	before bolting
GSM2135945	H55 (7461)	7461	H55	leaf	before bolting
GSM2135946	WAR (7477)	7477	WAR	leaf	before bolting
GSM2135947	RRS-10 (7515)	7515	RRS-10	leaf	before bolting
GSM2135948	Var2-6 (7517)	7517	Var2-6	leaf	before bolting
GSM2135949	Lp2-6 (7521)	7521	Lp2-6	leaf	before bolting
GSM2135950	Kar-1 (763)	763	Kar-1	leaf	before bolting
GSM2135951	Zal-1 (768)	768	Zal-1	leaf	before bolting
GSM2135952	KNO1.37 (7717)	7717	KNO1.37	leaf	before bolting
GSM2135953	PNA3.10 (7917)	7917	PNA3.10	leaf	before bolting
GSM2135954	KYC-33 (801)	801	KYC-33	leaf	before bolting
